Date;Location;Time;Ref;Sen;ATN;Flow;PCB temp;Status;Battery;BC
2.10.2019;BG;12:30:00;917654;779476;16.32;147;19;8;100;-20081
2.10.2019;BG;12:30:01;917773;779482;16.332;148;19;8;100;28087
2.10.2019;BG;12:30:02;917338;778955;16.352;148;19;8;100;46568
2.10.2019;BG;12:30:03;917378;778770;16.38;149;19;8;100;64301
2.10.2019;BG;12:30:04;916857;778152;16.403;149;19;8;100;51644
2.10.2019;BG;12:30:05;917183;778362;16.412;149;19;8;100;19594
2.10.2019;BG;12:30:06;916764;778006;16.412;148;19;8;100;124
2.10.2019;BG;12:30:07;916998;778102;16.425;148;19;8;100;30356
2.10.2019;BG;12:30:08;916626;777601;16.449;149;19;8;100;54512
2.10.2019;BG;12:30:09;916588;777335;16.479;149;19;8;100;68773
2.10.2019;BG;12:30:10;916153;776746;16.507;149;19;8;100;64799
2.10.2019;BG;12:30:11;916100;776514;16.531;149;19;8;100;55094
2.10.2019;BG;12:30:12;915631;775987;16.548;150;19;8;100;37902
2.10.2019;BG;12:30:13;915873;776122;16.557;150;19;8;100;20518
2.10.2019;BG;12:30:14;915551;775834;16.559;150;19;8;100;4432
2.10.2019;BG;12:30:15;915764;775995;16.561;150;19;8;100;5708
2.10.2019;BG;12:30:16;915572;775925;16.549;150;19;8;100;-27144
2.10.2019;BG;12:30:17;916027;776419;16.535;150;19;8;100;-31722
2.10.2019;BG;12:30:18;915771;776304;16.522;150;19;8;100;-29850
2.10.2019;BG;12:30:19;916128;776626;16.52;150;19;8;100;-5666
2.10.2019;BG;12:30:20;915795;776301;16.525;150;19;8;100;12499
2.10.2019;BG;12:30:21;916023;776454;16.53;149;19;8;100;11863
2.10.2019;BG;12:30:22;915731;776192;16.532;147;19;8;100;4328
2.10.2019;BG;12:30:23;916026;776435;16.533;145;19;8;100;2133
2.10.2019;BG;12:30:24;915620;776083;16.534;144;19;8;100;2400
2.10.2019;BG;12:30:25;915957;776356;16.536;142;19;8;100;3908
2.10.2019;BG;12:30:26;915642;776111;16.533;142;19;8;100;-6800
