Date/Time;Location;Small;Large
10.2.2019 10:30;BG;51200;4800
10.2.2019 10:30;BG;49900;7300
10.2.2019 10:30;BG;52900;6500
10.2.2019 10:30;BG;53700;5600
10.2.2019 10:30;BG;51800;7300
10.2.2019 10:30;BG;44700;7300
10.2.2019 10:31;BG;46600;7100
10.2.2019 10:31;BG;48900;5000
10.2.2019 10:31;BG;54300;9400
10.2.2019 10:31;BG;52000;7900
10.2.2019 10:31;BG;46200;4800
10.2.2019 10:31;BG;43400;5000
10.2.2019 10:32;BG;53500;5800
10.2.2019 10:32;BG;51200;4400
10.2.2019 10:32;BG;45900;6900
10.2.2019 10:32;BG;47800;6300
10.2.2019 10:32;BG;51000;7100
10.2.2019 10:32;BG;54100;7900
10.2.2019 10:33;BG;50400;7100
10.2.2019 10:33;BG;50800;5800
10.2.2019 10:33;BG;51400;5400
10.2.2019 10:33;BG;58100;6900
10.2.2019 10:33;BG;55600;6000
10.2.2019 10:33;BG;47200;6700
10.2.2019 10:34;BG;50600;6700
10.2.2019 10:34;BG;53500;7500
10.2.2019 10:34;BG;46400;5600
10.2.2019 10:34;BG;55400;7500
10.2.2019 10:34;BG;52000;6700
10.2.2019 10:34;BG;51800;4800
10.2.2019 10:35;BG;58100;6500
10.2.2019 10:35;BG;52700;7100
10.2.2019 10:35;BG;55800;5600
10.2.2019 10:35;BG;60000;3700
10.2.2019 10:35;BG;60400;4800
10.2.2019 10:35;BG;48000;5200
10.2.2019 10:36;BG;54300;6300
10.2.2019 10:36;BG;58100;5400
10.2.2019 10:36;BG;53300;5200
10.2.2019 10:36;BG;53900;7300
10.2.2019 10:36;BG;50600;4800
10.2.2019 10:36;BG;51200;4400
10.2.2019 10:37;BG;55800;6700
10.2.2019 10:37;BG;59200;6900
10.2.2019 10:37;BG;52900;5600
10.2.2019 10:37;BG;58800;5400
10.2.2019 10:37;BG;51400;5000
10.2.2019 10:37;BG;57300;5800
10.2.2019 10:38;BG;62500;6000
10.2.2019 10:38;BG;56400;7300
10.2.2019 10:38;BG;56000;5600
10.2.2019 10:38;BG;55400;3100
10.2.2019 10:38;BG;53300;3700
10.2.2019 10:38;BG;48700;5000
10.2.2019 10:39;BG;55600;4800
10.2.2019 10:39;BG;64600;6900
10.2.2019 10:39;BG;54300;4600
10.2.2019 10:39;BG;49100;4400
10.2.2019 10:39;BG;59600;3900
10.2.2019 10:39;BG;60200;6300
10.2.2019 10:40;BG;58300;6300
10.2.2019 10:40;BG;53100;4800
10.2.2019 10:40;BG;54100;4800
10.2.2019 10:40;BG;55400;6000
10.2.2019 10:40;BG;59200;4800
10.2.2019 10:40;BG;53500;4400
